Industry_NAICS6_Make,Industry_NAICS6_Make_desc,Industry_NAICS6_CBP,Industry_NAICS6_CBP_desc,Commodity_SCTG,Commodity_SCTG_desc,Proportion
112A00,"Animal production, except cattle and poultry and eggs",112410,Sheep Farming,1,Live animals/fish,1
112A00,"Animal production, except cattle and poultry and eggs",112420,Goat Farming,1,Live animals/fish,1
112A00,"Animal production, except cattle and poultry and eggs",112511,Finfish Farming and Fish Hatcheries,1,Live animals/fish,1
112A00,"Animal production, except cattle and poultry and eggs",112512,Shellfish Farming,1,Live animals/fish,1
112A00,"Animal production, except cattle and poultry and eggs",112519,Other Aquaculture,1,Live animals/fish,1
112A00,"Animal production, except cattle and poultry and eggs",112910,Apiculture,1,Live animals/fish,1
112A00,"Animal production, except cattle and poultry and eggs",112920,Horses and Other Equine Production,1,Live animals/fish,1
112A00,"Animal production, except cattle and poultry and eggs",112930,Fur-Bearing Animal and Rabbit Production,1,Live animals/fish,1
112A00,"Animal production, except cattle and poultry and eggs",112990,All Other Animal Production,1,Live animals/fish,1
113000,Forestry and logging,113110,Timber Tract Operations,25,Logs,1
113000,Forestry and logging,113210,Forest Nurseries and Gathering of Forest Products,25,Logs,1
113000,Forestry and logging,113310,Logging,25,Logs,1
114000,"Fishing, hunting and trapping",114111,Finfish Fishing,5,Meat/seafood,1
114000,"Fishing, hunting and trapping",114112,Shellfish Fishing,5,Meat/seafood,1
114000,"Fishing, hunting and trapping",114119,Other Marine Fishing,5,Meat/seafood,1
114000,"Fishing, hunting and trapping",114210,Hunting and Trapping,5,Meat/seafood,1
115000,Support activities for agriculture and forestry,115111,Cotton Ginning,0,NA,0
115000,Support activities for agriculture and forestry,115112,"Soil Preparation, Planting, and Cultivating",0,NA,0
115000,Support activities for agriculture and forestry,115113,"Crop Harvesting, Primarily by Machine",0,NA,0
115000,Support activities for agriculture and forestry,115114,Postharvest Crop Activities (except Cotton Ginning),0,NA,0
115000,Support activities for agriculture and forestry,115115,Farm Labor Contractors and Crew Leaders,0,NA,0
115000,Support activities for agriculture and forestry,115116,Farm Management Services,0,NA,0
115000,Support activities for agriculture and forestry,115210,Support Activities for Animal Production,0,NA,0
115000,Support activities for agriculture and forestry,115310,Support Activities for Forestry,0,NA,0
211000,Oil and gas extraction,211111,Crude Petroleum and Natural Gas Extraction,16,Crude petroleum,0.333333333
211000,Oil and gas extraction,211111,Crude Petroleum and Natural Gas Extraction,19,Coal-n.e.c.,0.333333333
211000,Oil and gas extraction,211112,Natural Gas Liquid Extraction,20,Basic chemicals,0.333333333
212100,Coal mining,212111,Bituminous Coal and Lignite Surface Mining,15,Coal,1
212100,Coal mining,212112,Bituminous Coal Underground Mining,15,Coal,1
212100,Coal mining,212113,Anthracite Mining,15,Coal,1
212230,"Copper, nickel, lead, and zinc mining",212231,Lead Ore and Zinc Ore Mining,14,Metallic ores,1
212230,"Copper, nickel, lead, and zinc mining",212234,Copper Ore and Nickel Ore Mining,14,Metallic ores,1
2122A0,"Iron, gold, silver, and other metal ore mining",212210,Iron Ore Mining,14,Metallic ores,1
2122A0,"Iron, gold, silver, and other metal ore mining",212221,Gold Ore Mining,14,Metallic ores,1
2122A0,"Iron, gold, silver, and other metal ore mining",212222,Silver Ore Mining,14,Metallic ores,1
2122A0,"Iron, gold, silver, and other metal ore mining",212291,Uranium-Radium-Vanadium Ore Mining,14,Metallic ores,1
2122A0,"Iron, gold, silver, and other metal ore mining",212299,All Other Metal Ore Mining,14,Metallic ores,1
212310,Stone mining and quarrying,212311,Dimension Stone Mining and Quarrying,10,Building stone,0.5
212310,Stone mining and quarrying,212312,Crushed and Broken Limestone Mining and Quarrying,12,Gravel,0.5
212310,Stone mining and quarrying,212313,Crushed and Broken Granite Mining and Quarrying,12,Gravel,0.5
212310,Stone mining and quarrying,212319,Other Crushed and Broken Stone Mining and Quarrying,12,Gravel,0.5
2123A0,Other nonmetallic mineral mining and quarrying,212322,Industrial Sand Mining,11,Natural sands,0.25
2123A0,Other nonmetallic mineral mining and quarrying,212321,Construction Sand and Gravel Mining,12,Gravel,0.25
2123A0,Other nonmetallic mineral mining and quarrying,212399,All Other Nonmetallic Mineral Mining,12,Gravel,0.25
2123A0,Other nonmetallic mineral mining and quarrying,212324,Kaolin and Ball Clay Mining,13,Nonmetallic minerals,0.25
2123A0,Other nonmetallic mineral mining and quarrying,212325,Clay and Ceramic and Refractory Minerals Mining,13,Nonmetallic minerals,0.25
2123A0,Other nonmetallic mineral mining and quarrying,212392,Phosphate Rock Mining,13,Nonmetallic minerals,0.25
2123A0,Other nonmetallic mineral mining and quarrying,212393,Other Chemical and Fertilizer Mineral Mining,13,Nonmetallic minerals,0.25
2123A0,Other nonmetallic mineral mining and quarrying,212391,"Potash, Soda, and Borate Mineral Mining",22,Fertilizers,0.25
213111,Drilling oil and gas wells,213111,Drilling Oil and Gas Wells,0,NA,0
21311A,Other support activities for mining,213112,Support Activities for Oil and Gas Operations,0,NA,0
21311A,Other support activities for mining,213113,Support Activities for Coal Mining,0,NA,0
21311A,Other support activities for mining,213114,Support Activities for Metal Mining,0,NA,0
21311A,Other support activities for mining,213115,Support Activities for Nonmetallic Minerals (except Fuels) Mining,0,NA,0
221100,"Electric power generation, transmission, and distribution",221111,Hydroelectric Power Generation,0,NA,0
221100,"Electric power generation, transmission, and distribution",221112,Fossil Fuel Electric Power Generation,0,NA,0
221100,"Electric power generation, transmission, and distribution",221113,Nuclear Electric Power Generation,0,NA,0
221100,"Electric power generation, transmission, and distribution",221119,Other Electric Power Generation - solar electric power generation,0,NA,0
221100,"Electric power generation, transmission, and distribution",221121,Electric Bulk Power Transmission and Control,0,NA,0
221100,"Electric power generation, transmission, and distribution",221122,Electric Power Distribution,0,NA,0
221200,Natural gas distribution,221210,Natural Gas Distribution,0,NA,0
221300,"Water, sewage and other systems",221310,Water Supply and Irrigation Systems,0,NA,0
221300,"Water, sewage and other systems",221320,Sewage Treatment Facilities,0,NA,0
221300,"Water, sewage and other systems",221330,Steam and Air-Conditioning Supply,0,NA,0
230000,Construction,236115,New Single-Family Housing Construction (except Operative Builders),0,NA,0
230000,Construction,236116,New Multifamily Housing Construction (except Operative Builders),0,NA,0
230000,Construction,236117,New Housing Operative Builders,0,NA,0
230000,Construction,236118,Residential Remodelers,0,NA,0
230000,Construction,236210,Industrial Building Construction,0,NA,0
230000,Construction,236220,Commercial and Institutional Building Construction,0,NA,0
230000,Construction,237110,Water and Sewer Line and Related Structures Construction,0,NA,0
230000,Construction,237120,Oil and Gas Pipeline and Related Structures Construction,0,NA,0
230000,Construction,237130,Power and Communication Line and Related Structures Construction,0,NA,0
230000,Construction,237210,Land Subdivision,0,NA,0
230000,Construction,237310,"Highway, Street, and Bridge Construction",0,NA,0
230000,Construction,237990,Other Heavy and Civil Engineering Construction,0,NA,0
230000,Construction,238110,Poured Concrete Foundation and Structure Contractors,0,NA,0
230000,Construction,238120,Structural Steel and Precast Concrete Contractors,0,NA,0
230000,Construction,238130,Framing Contractors,0,NA,0
230000,Construction,238140,Masonry Contractors,0,NA,0
230000,Construction,238150,Glass and Glazing Contractors,0,NA,0
230000,Construction,238160,Roofing Contractors,0,NA,0
230000,Construction,238170,Siding Contractors,0,NA,0
230000,Construction,238190,"Other Foundation, Structure, and Building Exterior Contractors - except building fireproofing contractors",0,NA,0
230000,Construction,238210,Electrical Contractors and Other Wiring Installation Contractors,0,NA,0
230000,Construction,238220,"Plumbing, Heating, and Air-Conditioning Contractors",0,NA,0
230000,Construction,238290,Other Building Equipment Contractors,0,NA,0
230000,Construction,238310,Drywall and Insulation Contractors,0,NA,0
230000,Construction,238320,Painting and Wall Covering Contractors,0,NA,0
230000,Construction,238330,Flooring Contractors - fireproof flooring construction contractors,0,NA,0
230000,Construction,238340,Tile and Terrazzo Contractors,0,NA,0
230000,Construction,238350,Finish Carpentry Contractors,0,NA,0
230000,Construction,238390,Other Building Finishing Contractors,0,NA,0
230000,Construction,238910,Site Preparation Contractors,0,NA,0
230000,Construction,238990,All Other Specialty Trade Contractors,0,NA,0
311111,Dog and cat food manufacturing,311111,Dog and Cat Food Manufacturing,4,Animal feed,1
311119,Other animal food manufacturing,311119,Other Animal Food Manufacturing,4,Animal feed,1
311210,Flour milling and malt manufacturing,311211,Flour Milling,6,Milled grain prods.,1
311210,Flour milling and malt manufacturing,311212,Rice Milling,6,Milled grain prods.,1
311210,Flour milling and malt manufacturing,311213,Malt Manufacturing,6,Milled grain prods.,1
311221,Wet corn milling,311221,Wet Corn Milling,4,Animal feed,1
311225,Fats and oils refining and blending,311225,Fats and Oils Refining and Blending,7,Other foodstuffs,1
31122A,Soybean and other oilseed processing,311223,Other Oilseed Processing,3,Other ag prods.,0.5
31122A,Soybean and other oilseed processing,311222,Soybean Processing,7,Other foodstuffs,0.5
311230,Breakfast cereal manufacturing,311230,Breakfast Cereal Manufacturing,6,Milled grain prods.,1
311300,Sugar and confectionery product manufacturing,311311,Sugarcane Mills,7,Other foodstuffs,1
311300,Sugar and confectionery product manufacturing,311312,Cane Sugar Refining,7,Other foodstuffs,1
311300,Sugar and confectionery product manufacturing,311313,Beet Sugar Manufacturing,7,Other foodstuffs,1
311300,Sugar and confectionery product manufacturing,311320,Chocolate and Confectionery Manufacturing from Cacao Beans,7,Other foodstuffs,1
311300,Sugar and confectionery product manufacturing,311330,Confectionery Manufacturing from Purchased Chocolate,7,Other foodstuffs,1
311300,Sugar and confectionery product manufacturing,311340,Nonchocolate Confectionery Manufacturing,7,Other foodstuffs,1
311410,Frozen food manufacturing,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",7,Other foodstuffs,1
311410,Frozen food manufacturing,311412,Frozen Specialty Food Manufacturing,7,Other foodstuffs,1
311420,"Fruit and vegetable canning, pickling, and drying",311421,Fruit and Vegetable Canning,7,Other foodstuffs,1
311420,"Fruit and vegetable canning, pickling, and drying",311422,Specialty Canning,7,Other foodstuffs,1
311420,"Fruit and vegetable canning, pickling, and drying",311423,Dried and Dehydrated Food Manufacturing,7,Other foodstuffs,1
311513,Cheese manufacturing,311513,Cheese Manufacturing,7,Other foodstuffs,1
311514,"Dry, condensed, and evaporated dairy product manufacturing",311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing",5,Meat/seafood,1
31151A,Fluid milk and butter manufacturing,311511,Fluid Milk Manufacturing,7,Other foodstuffs,1
31151A,Fluid milk and butter manufacturing,311512,Creamery Butter Manufacturing,7,Other foodstuffs,1
311520,Ice cream and frozen dessert manufacturing,311520,Ice Cream and Frozen Dessert Manufacturing,7,Other foodstuffs,1
311615,Poultry processing,311615,Poultry Processing,5,Meat/seafood,1
31161A,"Animal (except poultry) slaughtering, rendering, and processing",311613,Rendering and Meat Byproduct Processing,4,Animal feed,0.5
31161A,"Animal (except poultry) slaughtering, rendering, and processing",311611,Animal (except Poultry) Slaughtering,5,Meat/seafood,0.5
31161A,"Animal (except poultry) slaughtering, rendering, and processing",311612,Meat Processed from Carcasses,5,Meat/seafood,0.5
311700,Seafood product preparation and packaging,311712,Fresh and Frozen Seafood Processing,5,Meat/seafood,0.5
311700,Seafood product preparation and packaging,311711,Seafood Canning,7,Other foodstuffs,0.5
311810,Bread and bakery product manufacturing,311811,Retail Bakeries,6,Milled grain prods.,1
311810,Bread and bakery product manufacturing,311812,Commercial Bakeries,6,Milled grain prods.,1
311810,Bread and bakery product manufacturing,311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing",6,Milled grain prods.,1
3118A0,"Cookie, cracker, pasta, and tortilla manufacturing",311821,Cookie and Cracker Manufacturing,6,Milled grain prods.,1
3118A0,"Cookie, cracker, pasta, and tortilla manufacturing",311822,Flour Mixes and Dough Manufacturing from Purchased Flour,6,Milled grain prods.,1
3118A0,"Cookie, cracker, pasta, and tortilla manufacturing",311823,Dry Pasta Manufacturing,6,Milled grain prods.,1
3118A0,"Cookie, cracker, pasta, and tortilla manufacturing",311830,Tortilla Manufacturing,6,Milled grain prods.,1
311910,Snack food manufacturing,311911,Roasted Nuts and Peanut Butter Manufacturing,3,Other ag prods.,0.5
311910,Snack food manufacturing,311919,Other Snack Food Manufacturing,7,Other foodstuffs,0.5
311920,Coffee and tea manufacturing,311920,Coffee and Tea Manufacturing,3,Other ag prods.,1
311930,Flavoring syrup and concentrate manufacturing,311930,Flavoring Syrup and Concentrate Manufacturing,7,Other foodstuffs,1
311940,Seasoning and dressing manufacturing,311941,"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing",7,Other foodstuffs,0.5
311940,Seasoning and dressing manufacturing,311942,Spice and Extract Manufacturing,23,Chemical prods.,0.5
311990,All other food manufacturing,311991,Perishable Prepared Food Manufacturing,7,Other foodstuffs,1
311990,All other food manufacturing,311999,All Other Miscellaneous Food Manufacturing,7,Other foodstuffs,1
312110,Soft drink and ice manufacturing,312111,Soft Drink Manufacturing,7,Other foodstuffs,1
312110,Soft drink and ice manufacturing,312112,Bottled Water Manufacturing,7,Other foodstuffs,1
312110,Soft drink and ice manufacturing,312113,Ice Manufacturing,7,Other foodstuffs,1
312120,Breweries,312120,Breweries,8,Alcoholic beverages,1
312130,Wineries,312130,Wineries,8,Alcoholic beverages,1
312140,Distilleries,312140,Distilleries,8,Alcoholic beverages,1
312200,Tobacco product manufacturing,312210,Tobacco Stemming and Redrying,9,Tobacco prods.,1
312200,Tobacco product manufacturing,312221,Cigarette Manufacturing,9,Tobacco prods.,1
312200,Tobacco product manufacturing,312229,Other Tobacco Product Manufacturing,9,Tobacco prods.,1
313100,"Fiber, yarn, and thread mills",313111,Yarn Spinning Mills,3,Other ag prods.,0.5
313100,"Fiber, yarn, and thread mills",313112,"Yarn Texturizing, Throwing, and Twisting Mills",30,Textiles/leather,0.5
313100,"Fiber, yarn, and thread mills",313113,Thread Mills,30,Textiles/leather,0.5
313200,Fabric mills,313210,Broadwoven Fabric Mills,30,Textiles/leather,1
313200,Fabric mills,313221,Narrow Fabric Mills,30,Textiles/leather,1
313200,Fabric mills,313222,Schiffli Machine Embroidery,30,Textiles/leather,1
313200,Fabric mills,313230,Nonwoven Fabric Mills,30,Textiles/leather,1
313200,Fabric mills,313241,Weft Knit Fabric Mills,30,Textiles/leather,1
313200,Fabric mills,313249,Other Knit Fabric and Lace Mills,30,Textiles/leather,1
313300,Textile and fabric finishing and fabric coating mills,313320,Fabric Coating Mills,24,Plastics/rubber,0.5
313300,Textile and fabric finishing and fabric coating mills,313311,Broadwoven Fabric Finishing Mills,30,Textiles/leather,0.5
313300,Textile and fabric finishing and fabric coating mills,313312,Textile and Fabric Finishing (except Broadwoven Fabric) Mills,30,Textiles/leather,0.5
314110,Carpet and rug mills,314110,Carpet and Rug Mills,30,Textiles/leather,1
314120,Curtain and linen mills,314121,Curtain and Drapery Mills,30,Textiles/leather,1
314120,Curtain and linen mills,314129,Other Household Textile Product Mills,30,Textiles/leather,1
314900,Other textile product mills,314911,Textile Bag Mills,30,Textiles/leather,0.5
314900,Other textile product mills,314912,Canvas and Related Product Mills,30,Textiles/leather,0.5
314900,Other textile product mills,314991,"Rope, Cordage, and Twine Mills",30,Textiles/leather,0.5
314900,Other textile product mills,314992,Tire Cord and Tire Fabric Mills,30,Textiles/leather,0.5
314900,Other textile product mills,314999,All Other Miscellaneous Textile Product Mills,34,Machinery,0.5
315000,Apparel manufacturing,315211,Men's and Boys' Cut and Sew Apparel Contractors,24,Plastics/rubber,0.5
315000,Apparel manufacturing,315111,Sheer Hosiery Mills,30,Textiles/leather,0.5
315000,Apparel manufacturing,315119,Other Hosiery and Sock Mills,30,Textiles/leather,0.5
315000,Apparel manufacturing,315191,Outerwear Knitting Mills,30,Textiles/leather,0.5
315000,Apparel manufacturing,315192,Underwear and Nightwear Knitting Mills,30,Textiles/leather,0.5
315000,Apparel manufacturing,315212,"Women's, Girls', and Infants' Cut and Sew Apparel Contractors",30,Textiles/leather,0.5
315000,Apparel manufacturing,315221,Men's and Boys' Cut and Sew Underwear and Nightwear Manufacturing,30,Textiles/leather,0.5
315000,Apparel manufacturing,315222,"Men's and Boys' Cut and Sew Suit, Coat, and Overcoat Manufacturing",30,Textiles/leather,0.5
315000,Apparel manufacturing,315223,Men's and Boys' Cut and Sew Shirt (except Work Shirt) Manufacturing,30,Textiles/leather,0.5
315000,Apparel manufacturing,315224,"Men's and Boys' Cut and Sew Trouser, Slack, and Jean Manufacturing",30,Textiles/leather,0.5
315000,Apparel manufacturing,315225,Men's and Boys' Cut and Sew Work Clothing Manufacturing,30,Textiles/leather,0.5
315000,Apparel manufacturing,315228,Men's and Boys' Cut and Sew Other Outerwear Manufacturing,30,Textiles/leather,0.5
315000,Apparel manufacturing,315231,"Women's and Girls' Cut and Sew Lingerie, Loungewear, and Nightwear Manufacturing",30,Textiles/leather,0.5
315000,Apparel manufacturing,315232,Women's and Girls' Cut and Sew Blouse and Shirt Manufacturing,30,Textiles/leather,0.5
315000,Apparel manufacturing,315233,Women's and Girls' Cut and Sew Dress Manufacturing,30,Textiles/leather,0.5
315000,Apparel manufacturing,315234,"Women's and Girls' Cut and Sew Suit, Coat, Tailored Jacket, and Skirt Manufacturing",30,Textiles/leather,0.5
315000,Apparel manufacturing,315239,Women's and Girls' Cut and Sew Other Outerwear Manufacturing,30,Textiles/leather,0.5
315000,Apparel manufacturing,315291,Infants' Cut and Sew Apparel Manufacturing,30,Textiles/leather,0.5
315000,Apparel manufacturing,315292,Fur and Leather Apparel Manufacturing,30,Textiles/leather,0.5
315000,Apparel manufacturing,315299,All Other Cut and Sew Apparel Manufacturing,30,Textiles/leather,0.5
315000,Apparel manufacturing,315991,"Hat, Cap, and Millinery Manufacturing",30,Textiles/leather,0.5
315000,Apparel manufacturing,315992,Glove and Mitten Manufacturing,30,Textiles/leather,0.5
315000,Apparel manufacturing,315993,Men's and Boys' Neckwear Manufacturing,30,Textiles/leather,0.5
315000,Apparel manufacturing,315999,Other Apparel Accessories and Other Apparel Manufacturing,30,Textiles/leather,0.5
316000,Leather and allied product manufacturing,316992,Women's Handbag and Purse Manufacturing,24,Plastics/rubber,0.333333333
316000,Leather and allied product manufacturing,316211,Rubber and Plastics Footwear Manufacturing,30,Textiles/leather,0.333333333
316000,Leather and allied product manufacturing,316212,House Slipper Manufacturing,30,Textiles/leather,0.333333333
316000,Leather and allied product manufacturing,316213,Men's Footwear (except Athletic) Manufacturing,30,Textiles/leather,0.333333333
316000,Leather and allied product manufacturing,316214,Women's Footwear (except Athletic) Manufacturing,30,Textiles/leather,0.333333333
316000,Leather and allied product manufacturing,316219,Other Footwear Manufacturing,30,Textiles/leather,0.333333333
316000,Leather and allied product manufacturing,316991,Luggage Manufacturing,30,Textiles/leather,0.333333333
316000,Leather and allied product manufacturing,316993,Personal Leather Good (except Women's Handbag and Purse) Manufacturing,30,Textiles/leather,0.333333333
316000,Leather and allied product manufacturing,316999,All Other Leather Good and Allied Product Manufacturing,30,Textiles/leather,0.333333333
316000,Leather and allied product manufacturing,316110,Leather and Hide Tanning and Finishing,34,Machinery,0.333333333
321100,Sawmills and wood preservation,321114,Wood Preservation,25,Logs,0.5
321100,Sawmills and wood preservation,321113,Sawmills,26,Wood prods.,0.5
321200,"Veneer, plywood, and engineered wood product manufacturing",321211,Hardwood Veneer and Plywood Manufacturing,26,Wood prods.,1
321200,"Veneer, plywood, and engineered wood product manufacturing",321212,Softwood Veneer and Plywood Manufacturing,26,Wood prods.,1
321200,"Veneer, plywood, and engineered wood product manufacturing",321213,Engineered Wood Member (except Truss) Manufacturing,26,Wood prods.,1
321200,"Veneer, plywood, and engineered wood product manufacturing",321214,Truss Manufacturing,26,Wood prods.,1
321200,"Veneer, plywood, and engineered wood product manufacturing",321219,Reconstituted Wood Product Manufacturing,26,Wood prods.,1
321910,Millwork,321911,Wood Window and Door Manufacturing,26,Wood prods.,1
321910,Millwork,321912,"Cut Stock, Resawing Lumber, and Planing",26,Wood prods.,1
321910,Millwork,321918,Other Millwork (including Flooring),26,Wood prods.,1
3219A0,All other wood product manufacturing,321920,Wood Container and Pallet Manufacturing,26,Wood prods.,0.333333333
3219A0,All other wood product manufacturing,321999,All Other Miscellaneous Wood Product Manufacturing,26,Wood prods.,0.333333333
3219A0,All other wood product manufacturing,321991,Manufactured Home (Mobile Home) Manufacturing,36,Motorized vehicles,0.333333333
3219A0,All other wood product manufacturing,321992,Prefabricated Wood Building Manufacturing,40,Misc. mfg. prods.,0.333333333
322110,Pulp mills,322110,Pulp Mills,27,Newsprint/paper,1
322120,Paper mills,322121,Paper (except Newsprint) Mills,27,Newsprint/paper,1
322120,Paper mills,322122,Newsprint Mills,27,Newsprint/paper,1
322130,Paperboard mills,322130,Paperboard Mills,27,Newsprint/paper,1
322210,Paperboard container manufacturing,322211,Corrugated and Solid Fiber Box Manufacturing,24,Plastics/rubber,0.5
322210,Paperboard container manufacturing,322212,Folding Paperboard Box Manufacturing,28,Paper articles,0.5
322210,Paperboard container manufacturing,322213,Setup Paperboard Box Manufacturing,28,Paper articles,0.5
322210,Paperboard container manufacturing,322214,"Fiber Can, Tube, Drum, and Similar Products Manufacturing",28,Paper articles,0.5
322210,Paperboard container manufacturing,322215,Nonfolding Sanitary Food Container Manufacturing,28,Paper articles,0.5
322220,Paper bag and coated and treated paper manufacturing,322223,Coated Paper Bag and Pouch Manufacturing,24,Plastics/rubber,0.25
322220,Paper bag and coated and treated paper manufacturing,322222,Coated and Laminated Paper Manufacturing,27,Newsprint/paper,0.25
322220,Paper bag and coated and treated paper manufacturing,322221,Coated and Laminated Packaging Paper Manufacturing,28,Paper articles,0.25
322220,Paper bag and coated and treated paper manufacturing,322224,Uncoated Paper and Multiwall Bag Manufacturing,28,Paper articles,0.25
322220,Paper bag and coated and treated paper manufacturing,322226,Surface-Coated Paperboard Manufacturing,28,Paper articles,0.25
322220,Paper bag and coated and treated paper manufacturing,322225,Laminated Aluminum Foil Manufacturing for Flexible Packaging Uses,32,Base metals,0.25
322230,Stationery product manufacturing,322231,Die-Cut Paper and Paperboard Office Supplies Manufacturing,28,Paper articles,1
322230,Stationery product manufacturing,322232,Envelope Manufacturing,28,Paper articles,1
322230,Stationery product manufacturing,322233,"Stationery, Tablet, and Related Product Manufacturing",28,Paper articles,1
322291,Sanitary paper product manufacturing,322291,Sanitary Paper Product Manufacturing,34,Machinery,1
322299,All other converted paper product manufacturing,322299,All Other Converted Paper Product Manufacturing,28,Paper articles,1
323110,Printing,323110,Commercial Lithographic Printing,29,Printed prods.,0.5
323110,Printing,323111,Commercial Gravure Printing,29,Printed prods.,0.5
323110,Printing,323112,Commercial Flexographic Printing,29,Printed prods.,0.5
323110,Printing,323114,Quick Printing,29,Printed prods.,0.5
323110,Printing,323115,Digital Printing,29,Printed prods.,0.5
323110,Printing,323116,Manifold Business Forms Printing,29,Printed prods.,0.5
323110,Printing,323117,Books Printing,29,Printed prods.,0.5
323110,Printing,323118,"Blankbook, Looseleaf Binders, and Devices Manufacturing",29,Printed prods.,0.5
323110,Printing,323119,Other Commercial Printing,29,Printed prods.,0.5
323110,Printing,323113,Commercial Screen Printing,39,Furniture,0.5
323120,Support activities for printing,323121,Tradebinding and Related Work,29,Printed prods.,0.5
323120,Support activities for printing,323122,Prepress Services,34,Machinery,0.5
324110,Petroleum refineries,324110,Petroleum Refineries,17,Gasoline,0.333333333
324110,Petroleum refineries,324110,Petroleum Refineries,18,Fuel oils,0.333333333
324110,Petroleum refineries,324110,Petroleum Refineries,19,Coal-n.e.c.,0.333333333
324121,Asphalt paving mixture and block manufacturing,324121,Asphalt Paving Mixture and Block Manufacturing,19,Coal-n.e.c.,1
324122,Asphalt shingle and coating materials manufacturing,324122,Asphalt Shingle and Coating Materials Manufacturing,31,Nonmetal min. prods.,1
324190,Other petroleum and coal products manufacturing,324191,Petroleum Lubricating Oil and Grease Manufacturing,19,Coal-n.e.c.,1
324190,Other petroleum and coal products manufacturing,324199,All Other Petroleum and Coal Products Manufacturing,19,Coal-n.e.c.,1
325110,Petrochemical manufacturing,325110,Petrochemical Manufacturing,20,Basic chemicals,1
325120,Industrial gas manufacturing,325120,Industrial Gas Manufacturing,20,Basic chemicals,1
325130,Synthetic dye and pigment manufacturing,325131,Inorganic Dye and Pigment Manufacturing,20,Basic chemicals,1
